SYSCALL(args) 		 = return
geteuid(0x7FFF52D00560, 0x7FFF52CFED28, 0x7FFF52CFE990)		 = 0 0
geteuid(0x7FFF52D00560, 0x7FFF52CFED28, 0x7FFF52CFE990)		 = 0 0
geteuid(0x7FFF52D00560, 0x7FFF52CFED28, 0x7FFF52CFE990)		 = 0 0
fsgetpath(0x7FFF52CFDB20, 0x400, 0x7FFF52CFD6A8)		 = 54 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/dist/hs-exe\0", 0x7FFF52CFE300, 0x7FFF52CFDF70)		 = 0 0
fsgetpath(0x7FFF52CFF510, 0x400, 0x7FFF52CFEBD8)		 = 47 0
open("/Users/elrikdante/Desktop/repos/haskell-c/dist/hs-exe/..namedfork/rsrc\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFF52CFEF40, 0x1B6)		 = 0 0
close(0x3)		 = 0 0
geteuid(0x3, 0x7FFF52CFEF40, 0x1B6)		 = 0 0
kdebug_trace(0x210B000C, 0x0, 0x0)		 = 0 0
lstat64("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFFFD0, 0x0)		 = 0 0
access("/AppleInternal/\0", 0x0, 0x0)		 = -1 Err#2
geteuid(0x7FFF9706B794, 0x0, 0x0)		 = 0 0
geteuid(0x7FFF9706B794, 0x0, 0x0)		 = 0 0
getuid(0x7FFF9706B794, 0x0, 0x0)		 = 0 0
geteuid(0x7FFF9706B794, 0x0, 0x0)		 = 0 0
shm_open(0x7FFFAB4DFDE7, 0x0, 0x0)		 = 3 0
mmap(0x0, 0x1000, 0x1, 0x1, 0x3, 0x0)		 = 0x10D9E2000 0
close_nocancel(0x3)		 = 0 0
geteuid(0x3, 0x1000, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FE3D4508E10, 0x1)		 = 0 0
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
sigreturn(0x7FFF52CFF3B8, 0x1E, 0x1)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
geteuid(0x20, 0x0, 0x1)		 = 0 0
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
geteuid(0x20, 0x0, 0x1)		 = 0 0
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
bsdthread_ctl(0x400, 0xD03, 0x2000)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
ulock_wait(0x1, 0x7FFF52CFFC90, 0xFFFFFFFF)		 = 0 0
ulock_wake(0x1, 0x7FFF52CFFC90, 0x0)		 = -1 Err#2
bsdthread_ctl(0x400, 0xD03, 0x2000)		 = 0 0
geteuid(0x1, 0x7FFF52CFFC90, 0xFFFFFFFF)		 = 0 0
geteuid(0x1, 0x7FFF52CFFC90, 0xFFFFFFFF)		 = 0 0
stat64("/System/Library/PrivateFrameworks/CoreServicesInternal.framework/CoreServicesInternal\0", 0x7FFF52CFEC68, 0xFFFFFFFF)		 = 0 0
stat64("/System/Library/PrivateFrameworks/CoreServicesInternal.framework/Versions/A/CoreServicesInternal\0", 0x7FFF52CFEAD8, 0xFFFFFFFF)		 = 0 0
stat64("/System/Library/Frameworks/CoreServices.framework/Frameworks/LaunchServices.framework/LaunchServices\0", 0x7FFF52CFEB78, 0xFFFFFFFF)		 = 0 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFEFD8, 0x7FFF52CFEC30)		 = 0 0
geteuid(0x7FFF52CFEFF0, 0x7FFF52CFEFD8, 0x7FFF52CFEC30)		 = 0 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFEFE8, 0x7FFF52CFEC20)		 = 0 0
geteuid(0x7FFF52CFF000, 0x7FFF52CFEFE8, 0x7FFF52CFEC20)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FE3D4602D00, 0x1)		 = 0 0
proc_info(0x2, 0x69DC, 0x3)		 = 136 0
stat64("/System/Library/Frameworks/CoreServices.framework/Versions/Current/Frameworks/LaunchServices.framework/Versions/Current/LaunchServices\0", 0x7FFF52CFD0A8, 0x3)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x70000281CB80, 0x0)		 = 0 Err#-2
geteuid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
getegid(0xFFFFFFFF, 0x7FFFAB2CAA28, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x70000281CB80, 0x2)		 = 0 Err#-2
getaudit_addr(0x7FFF52CFD9A0, 0x30, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
kevent_qos(0xFFFFFFFF, 0x7FE3D4601B10, 0x1)		 = 0 0
workq_kernreturn(0x40, 0x70000281CB80, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
bsdthread_ctl(0x100, 0x0, 0x2E07)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
bsdthread_ctl(0x100, 0x0, 0x2E07)		 = 0 0
kevent_qos(0xFFFFFFFF, 0x7FE3D4509040, 0x1)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
bsdthread_ctl(0x200, 0x0, 0x0)		 = 0 0
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
bsdthread_ctl(0x100, 0x0, 0x3107)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
stat64("/System/Library/Frameworks/CoreGraphics.framework/CoreGraphics\0", 0x7FFF52CFD0A8, 0x1)		 = 0 0
stat64("/System/Library/PrivateFrameworks/SkyLight.framework/SkyLight\0", 0x7FFF52CFCDB8, 0x1)		 = 0 0
proc_info(0x2, 0x69DC, 0x11)		 = 56 0
proc_info(0x2, 0x69DC, 0x11)		 = 56 0
kevent_qos(0xFFFFFFFF, 0x7FE3D4509BD0, 0x1)		 = 0 0
sysctl([CTL_KERN, 14, 1, 27100, 0, 0] (4), 0x7FFF52CFD6E8, 0x7FFF52CFD6A8, 0x0, 0x0)		 = 0 0
issetugid(0x7FFF52CFD970, 0x4, 0x7FFF52CFD6E8)		 = 0 0
open("/System/Library/Preferences/Logging/Subsystems/com.apple.SkyLight.plist\0", 0x0, 0x7FFF52CFCEB8)		 = 3 0
fstat64(0x3, 0x7FFF52CFD450, 0x7FFF52CFCEB8)		 = 0 0
mmap(0x0, 0x26B, 0x1, 0x6001, 0x3, 0x0)		 = 0x10D9E5000 0
munmap(0x10D9E5000, 0x26B)		 = 0 0
close(0x3)		 = 0 0
open("/Library/Preferences/Logging/Subsystems/com.apple.SkyLight.plist\0", 0x0, 0x7FFF52CFCEB8)		 = -1 Err#2
workq_kernreturn(0x40, 0x70000281CB80, 0x1)		 = 0 Err#-2
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFCD58, 0x7FFF52CFC990)		 = 0 0
geteuid(0x7FFF52CFCD70, 0x7FFF52CFCD58, 0x7FFF52CFC990)		 = 0 0
geteuid(0x7FFF52CFCD70, 0x7FFF52CFCD58, 0x7FFF52CFC990)		 = 0 0
geteuid(0x7FFF52CFCD70, 0x7FFF52CFCD58, 0x7FFF52CFC990)		 = 0 0
geteuid(0x7FFF52CFCD70, 0x7FFF52CFCD58, 0x7FFF52CFC990)		 = 0 0
getattrlist("/Users/elrikdante/Desktop/repos/haskell-c/./dist/hs-exe\0", 0x7FFF52CFCCF8, 0x7FFF52CFC930)		 = 0 0
geteuid(0x7FFF52CFCD10, 0x7FFF52CFCCF8, 0x7FFF52CFC930)		 = 0 0
stat64("/System/Installation\0", 0x7FFF52CFD650, 0x7FFF52CFC930)		 = -1 Err#2
stat64("/var/db/.AppleSetupDone\0", 0x7FFF52CFD650, 0x7FFF52CFC930)		 = 0 0
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
workq_kernreturn(0x20, 0x0, 0x1)		 = 0 0
workq_kernreturn(0x4, 0x0, 0x0)		 = 0 Err#-2
bsdthread_ctl(0x400, 0xD03, 0x1000)		 = 0 0
bsdthread_ctl(0x400, 0x1403, 0x1000)		 = 0 0
sigreturn(0x7FFF52CFDA90, 0x1E, 0x1)		 = 0 Err#-2
geteuid(0x7FFF52CFDA90, 0x1E, 0x1)		 = 0 0
geteuid(0x7FFF52CFDA90, 0x1E, 0x1)		 = 0 0
getuid(0x7FFF52CFDA90, 0x1E, 0x1)		 = 0 0
sysctl([CTL_KERN, 14, 1, 27100, 0, 0] (4), 0x7FFF52CFD840, 0x7FFF52CFD828, 0x0, 0x0)		 = 0 0
